O membership,1 membership,2 membership,3 membership,4 membership,5 membership,6 membership,7 membership,8 membership,9 membership,centre x,centre y,radius
0,1,0,0,0,0,0,0,0,0,13,14,10
0,1,0,0,0,0,0,0,0,0,13,15,11
0,0,0,0,0,0,1,0,0,0,12,14,10
0,0,0,1,0,0,0,0,0,0,14,12,12
1,0,0,0,0,0,0,0,0,0,13,14,11
0,0,1,0,0,0,0,0,0,0,12,16,11
0,0,0,0,0,0,0,0,0,1,15,16,11
0,0,0,1,0,0,0,0,0,0,15,12,12
0,1,0,0,0,0,0,0,0,0,13,14,10
0,1,0,0,0,0,0,0,0,0,13,13,12
1,0,0,0,0,0,0,0,0,0,14,14,11
0,0,0,0,1,0,0,0,0,0,14,16,11
0,0,0,0,0,0,0,0,0,1,16,15,10
0,0,1,0,0,0,0,0,0,0,14,14,11
1,0,0,0,0,0,0,0,0,0,13,14,11
1,0,0,0,0,0,0,0,0,0,14,14,12
0,0,1,0,0,0,0,0,0,0,13,13,11
1,0,0,0,0,0,0,0,0,0,14,15,12
0,0,1,0,0,0,0,0,0,0,12,12,11
0,0,0,0,0,0,0,1,0,0,17,13,12
0,1,0,0,0,0,0,0,0,0,14,13,10
0,0,0,0,0,0,0,0,1,0,13,14,11
0,0,0,0,0,0,1,0,0,0,12,16,10
0,0,0,0,1,0,0,0,0,0,14,17,13
0,1,0,0,0,0,0,0,0,0,13,14,10
0,0,0,0,0,0,1,0,0,0,12,14,11
0,0,0,1,0,0,0,0,0,0,14,10,10
0,0,0,0,1,0,0,0,0,0,15,15,12
0,0,0,0,0,1,0,0,0,0,13,12,11
0,0,0,0,0,0,0,0,0,1,16,13,10
0,1,0,0,0,0,0,0,0,0,13,14,12
0,0,0,1,0,0,0,0,0,0,13,11,13
0,0,0,1,0,0,0,0,0,0,14,13,10
0,0,0,0,0,0,0,0,1,0,14,13,11
0,0,0,0,0,1,0,0,0,0,13,15,11
0,0,0,0,1,0,0,0,0,0,14,16,11
0,0,0,0,0,0,0,1,0,0,14,10,10
0,0,0,0,0,0,0,1,0,0,16,13,13
0,0,0,0,1,0,0,0,0,0,14,13,10
0,0,1,0,0,0,0,0,0,0,13,14,11
0,0,0,0,0,0,0,0,1,0,14,15,10
0,0,0,0,0,1,0,0,0,0,13,15,12
0,0,0,0,0,0,0,0,1,0,14,15,12
0,0,0,0,0,0,1,0,0,0,12,14,10
0,0,0,0,0,0,0,1,0,0,14,14,10
0,0,0,1,0,0,0,0,0,0,14,13,11
0,0,0,0,1,0,0,0,0,0,14,14,10
0,0,0,0,0,0,1,0,0,0,11,14,11
0,1,0,0,0,0,0,0,0,0,13,13,10
0,0,0,0,0,0,0,0,0,1,16,13,11
0,0,0,0,0,0,0,0,0,1,16,14,11
0,0,0,0,0,0,1,0,0,0,11,14,11
1,0,0,0,0,0,0,0,0,0,15,15,11
0,0,0,1,0,0,0,0,0,0,14,13,13
0,0,0,0,0,0,0,1,0,0,16,13,12
0,0,1,0,0,0,0,0,0,0,14,14,11
0,0,0,0,0,0,0,0,1,0,13,14,10
0,0,1,0,0,0,0,0,0,0,13,13,12
0,0,0,0,0,0,0,0,0,1,15,13,10
0,0,0,0,1,0,0,0,0,0,14,16,12
0,0,0,0,1,0,0,0,0,0,14,13,12
0,0,0,0,0,0,1,0,0,0,11,14,11
0,0,0,0,1,0,0,0,0,0,13,16,11
0,0,0,0,0,0,0,0,0,1,16,14,11
0,0,0,0,0,0,0,1,0,0,15,12,10
1,0,0,0,0,0,0,0,0,0,13,12,11
0,0,0,0,0,0,0,0,0,1,16,14,10
0,0,1,0,0,0,0,0,0,0,14,14,11
0,0,0,0,0,0,0,0,0,1,15,15,11
0,0,0,0,0,1,0,0,0,0,13,14,12
0,1,0,0,0,0,0,0,0,0,14,15,10
0,0,0,0,0,1,0,0,0,0,14,15,12
0,0,0,0,0,0,0,0,0,1,16,14,10
0,1,0,0,0,0,0,0,0,0,14,14,11
0,0,1,0,0,0,0,0,0,0,12,14,12
0,0,0,1,0,0,0,0,0,0,14,13,12
0,0,1,0,0,0,0,0,0,0,12,13,10
0,0,0,1,0,0,0,0,0,0,15,13,13
0,0,0,0,0,1,0,0,0,0,13,13,10
0,0,0,0,0,0,0,0,0,1,16,13,11
0,1,0,0,0,0,0,0,0,0,13,13,10
0,0,0,0,0,0,0,1,0,0,15,13,11
0,0,0,0,0,0,1,0,0,0,12,15,11
0,0,1,0,0,0,0,0,0,0,13,13,11
0,0,0,0,0,0,0,0,1,0,14,13,10
0,0,1,0,0,0,0,0,0,0,14,14,11
0,0,1,0,0,0,0,0,0,0,11,13,11
0,0,0,0,0,1,0,0,0,0,14,15,12
1,0,0,0,0,0,0,0,0,0,12,13,11
0,0,0,0,0,0,0,1,0,0,15,14,12
0,0,0,0,1,0,0,0,0,0,14,14,11
0,0,0,0,0,0,0,0,0,1,16,14,12
0,0,0,0,0,0,0,1,0,0,16,12,11
0,0,0,0,0,0,0,0,1,0,15,15,12
0,0,0,1,0,0,0,0,0,0,14,12,11
0,0,1,0,0,0,0,0,0,0,15,14,10
0,1,0,0,0,0,0,0,0,0,13,13,10
0,1,0,0,0,0,0,0,0,0,14,15,12
0,0,0,0,0,0,0,0,1,0,13,16,13
0,0,0,1,0,0,0,0,0,0,15,13,12
0,0,0,0,0,0,1,0,0,0,11,13,10
0,1,0,0,0,0,0,0,0,0,13,14,12
1,0,0,0,0,0,0,0,0,0,14,13,11
0,0,0,1,0,0,0,0,0,0,15,13,11
0,1,0,0,0,0,0,0,0,0,13,14,10
1,0,0,0,0,0,0,0,0,0,13,13,11
1,0,0,0,0,0,0,0,0,0,14,14,10
0,1,0,0,0,0,0,0,0,0,13,13,10
0,0,0,0,0,0,0,1,0,0,15,14,10
0,0,1,0,0,0,0,0,0,0,13,14,12
0,0,0,0,0,0,0,1,0,0,16,10,12
0,0,0,1,0,0,0,0,0,0,13,11,12
1,0,0,0,0,0,0,0,0,0,14,14,10
0,0,0,0,1,0,0,0,0,0,13,16,10
0,0,0,0,0,0,1,0,0,0,12,15,10
0,0,0,0,0,1,0,0,0,0,11,13,12
0,0,1,0,0,0,0,0,0,0,13,14,13
0,0,0,0,0,0,1,0,0,0,11,13,10
0,0,0,0,1,0,0,0,0,0,14,14,12
0,0,0,0,0,0,0,1,0,0,16,15,11
0,1,0,0,0,0,0,0,0,0,13,12,12
0,0,0,0,0,0,0,0,1,0,13,13,11
0,0,0,0,0,0,0,0,0,1,16,13,10
0,0,0,0,0,0,0,0,0,1,16,18,11
0,0,0,1,0,0,0,0,0,0,14,13,12
1,0,0,0,0,0,0,0,0,0,14,14,11
0,0,0,0,0,0,0,1,0,0,17,15,11
0,1,0,0,0,0,0,0,0,0,13,13,10
1,0,0,0,0,0,0,0,0,0,12,14,10
0,0,1,0,0,0,0,0,0,0,12,12,12
1,0,0,0,0,0,0,0,0,0,13,14,11
0,0,0,1,0,0,0,0,0,0,13,12,12
0,0,0,0,0,1,0,0,0,0,14,15,13
0,0,0,0,1,0,0,0,0,0,13,16,10
0,0,0,0,0,0,1,0,0,0,12,15,10
0,0,0,0,0,1,0,0,0,0,12,13,11
0,0,0,0,0,0,0,0,1,0,14,13,10
0,0,0,0,0,0,1,0,0,0,11,14,11
0,0,0,1,0,0,0,0,0,0,13,12,11
0,0,0,0,0,0,0,1,0,0,16,14,11
0,0,0,0,0,1,0,0,0,0,14,14,11
0,0,0,0,0,0,0,0,1,0,14,15,11
1,0,0,0,0,0,0,0,0,0,14,14,11
0,0,0,0,0,0,0,0,0,1,15,16,11
0,1,0,0,0,0,0,0,0,0,13,15,10
1,0,0,0,0,0,0,0,0,0,14,14,11
0,0,0,1,0,0,0,0,0,0,14,12,11
0,1,0,0,0,0,0,0,0,0,14,17,11
0,0,1,0,0,0,0,0,0,0,12,15,11
0,0,1,0,0,0,0,0,0,0,13,12,12
0,0,0,1,0,0,0,0,0,0,13,15,10
0,0,0,1,0,0,0,0,0,0,12,12,12
0,0,0,0,0,0,1,0,0,0,12,15,11
0,0,0,0,1,0,0,0,0,0,13,16,11
0,0,0,0,0,0,0,1,0,0,15,14,11
0,0,0,0,0,1,0,0,0,0,11,12,11
1,0,0,0,0,0,0,0,0,0,14,14,11
0,0,0,0,0,0,1,0,0,0,11,14,10
0,0,1,0,0,0,0,0,0,0,12,15,12
0,0,0,0,0,0,0,1,0,0,16,15,11
0,0,0,0,0,0,0,0,0,1,14,16,11
0,0,0,0,0,0,0,0,1,0,14,13,11
0,0,0,0,0,1,0,0,0,0,13,15,12
0,0,0,0,0,0,0,0,0,1,15,14,10
0,0,1,0,0,0,0,0,0,0,13,14,10
0,1,0,0,0,0,0,0,0,0,13,13,11
0,1,0,0,0,0,0,0,0,0,13,14,10
0,0,0,0,1,0,0,0,0,0,13,16,10
0,0,0,0,1,0,0,0,0,0,14,14,11
0,0,0,0,0,1,0,0,0,0,12,12,11
0,0,0,0,0,0,1,0,0,0,12,13,12
0,0,0,0,1,0,0,0,0,0,12,14,11
0,1,0,0,0,0,0,0,0,0,13,15,10
0,0,1,0,0,0,0,0,0,0,12,11,12
0,0,0,0,0,1,0,0,0,0,12,14,11
0,0,0,1,0,0,0,0,0,0,14,12,12
0,0,0,0,0,0,0,0,0,1,16,14,10
0,0,0,1,0,0,0,0,0,0,13,11,13
0,0,0,0,0,0,0,0,0,1,18,13,11
1,0,0,0,0,0,0,0,0,0,13,14,10
0,0,0,0,0,1,0,0,0,0,13,13,12
0,0,0,0,0,0,0,0,0,1,15,15,10
0,0,0,0,0,0,1,0,0,0,12,16,10
0,0,0,0,0,1,0,0,0,0,12,13,11
0,0,0,0,0,0,0,1,0,0,16,12,11
0,0,0,0,1,0,0,0,0,0,13,16,11
0,1,0,0,0,0,0,0,0,0,13,14,10
0,0,0,1,0,0,0,0,0,0,13,11,12
0,0,0,0,1,0,0,0,0,0,13,14,10
1,0,0,0,0,0,0,0,0,0,14,15,11
0,0,0,0,1,0,0,0,0,0,15,14,13
0,0,0,0,0,0,0,0,1,0,14,15,11
1,0,0,0,0,0,0,0,0,0,12,13,10
0,0,0,0,1,0,0,0,0,0,12,16,11
0,0,0,1,0,0,0,0,0,0,14,12,11
0,0,0,0,0,0,1,0,0,0,11,13,10
0,0,0,0,0,0,0,0,1,0,14,14,11
0,0,0,0,0,0,0,1,0,0,17,14,11
0,0,0,0,0,0,1,0,0,0,11,13,11
1,0,0,0,0,0,0,0,0,0,13,13,11
0,0,0,0,0,0,0,0,0,1,16,14,10
0,0,0,0,0,0,0,1,0,0,16,14,11
0,0,0,0,0,1,0,0,0,0,13,13,11
0,0,0,0,0,0,0,1,0,0,16,14,11
0,0,1,0,0,0,0,0,0,0,14,14,11
0,1,0,0,0,0,0,0,0,0,13,13,11
0,1,0,0,0,0,0,0,0,0,13,14,10
0,0,0,0,0,0,1,0,0,0,11,12,11
0,0,0,0,0,0,0,0,1,0,14,14,10
0,0,0,0,0,0,0,0,0,1,15,14,10
0,0,0,0,1,0,0,0,0,0,14,14,10
0,1,0,0,0,0,0,0,0,0,13,14,11
0,0,0,0,0,1,0,0,0,0,14,12,11
0,0,1,0,0,0,0,0,0,0,12,13,12
0,0,1,0,0,0,0,0,0,0,15,13,12
0,0,0,0,0,0,0,0,0,1,15,14,11
1,0,0,0,0,0,0,0,0,0,13,13,10
0,0,0,1,0,0,0,0,0,0,13,13,12
0,0,0,0,0,0,0,0,0,1,15,15,10
0,0,0,0,0,0,1,0,0,0,10,13,11
0,0,0,0,0,0,0,1,0,0,15,13,11
0,0,1,0,0,0,0,0,0,0,13,13,12
1,0,0,0,0,0,0,0,0,0,13,13,11
0,0,0,1,0,0,0,0,0,0,13,11,13
0,0,0,0,0,1,0,0,0,0,15,16,11
0,0,0,0,1,0,0,0,0,0,11,14,11
0,0,0,1,0,0,0,0,0,0,13,11,10
0,0,0,0,0,0,1,0,0,0,11,14,10
0,0,0,0,0,1,0,0,0,0,13,16,12
0,0,0,0,0,0,0,0,1,0,14,15,11
0,0,0,0,0,0,0,0,0,1,14,14,11
0,0,0,0,0,1,0,0,0,0,12,14,11
0,0,0,0,1,0,0,0,0,0,14,15,11
0,0,0,0,0,0,0,1,0,0,16,15,12
0,0,0,0,1,0,0,0,0,0,14,16,11
0,0,1,0,0,0,0,0,0,0,12,12,13
0,0,0,0,0,0,0,1,0,0,15,15,10
0,0,0,1,0,0,0,0,0,0,13,12,12
0,0,0,0,1,0,0,0,0,0,14,16,10
0,0,0,0,0,0,0,0,1,0,13,14,12
0,0,0,0,0,0,0,0,0,1,15,15,10
0,1,0,0,0,0,0,0,0,0,13,13,11
0,0,0,0,0,0,0,0,0,1,14,12,11
0,0,1,0,0,0,0,0,0,0,13,12,12
0,0,0,0,0,0,0,0,1,0,13,14,11
0,0,0,0,0,0,0,1,0,0,15,14,12
0,0,0,0,0,0,0,0,0,1,15,14,10
0,1,0,0,0,0,0,0,0,0,13,14,11
0,0,0,0,0,0,0,0,1,0,13,14,10
0,0,0,0,0,0,0,1,0,0,15,13,11
0,0,0,0,1,0,0,0,0,0,14,14,10
0,1,0,0,0,0,0,0,0,0,13,13,11
0,0,0,1,0,0,0,0,0,0,14,11,11
0,1,0,0,0,0,0,0,0,0,13,14,11
0,1,0,0,0,0,0,0,0,0,13,13,10
1,0,0,0,0,0,0,0,0,0,13,12,11
0,0,1,0,0,0,0,0,0,0,12,15,13
0,0,0,1,0,0,0,0,0,0,14,13,12
0,0,0,0,0,0,0,0,0,1,15,15,10
0,0,0,0,1,0,0,0,0,0,13,15,11
0,0,0,0,0,0,0,0,0,1,15,15,10
0,0,1,0,0,0,0,0,0,0,14,13,11
0,1,0,0,0,0,0,0,0,0,13,12,10
0,0,0,0,0,0,1,0,0,0,11,13,10
0,0,0,0,0,0,0,0,1,0,13,13,10
0,0,0,0,1,0,0,0,0,0,14,17,11
0,0,0,0,0,0,0,1,0,0,15,15,10
0,0,0,0,0,0,0,1,0,0,16,13,11
0,0,0,0,1,0,0,0,0,0,13,12,10
0,0,0,0,1,0,0,0,0,0,13,16,11
0,0,0,0,0,0,0,0,0,1,15,14,10
0,0,1,0,0,0,0,0,0,0,12,12,12
0,0,0,0,0,1,0,0,0,0,13,15,10
0,0,0,0,0,0,0,1,0,0,16,15,12
0,0,1,0,0,0,0,0,0,0,13,14,11
0,0,0,0,1,0,0,0,0,0,13,16,11
0,0,0,0,1,0,0,0,0,0,13,14,11
0,0,1,0,0,0,0,0,0,0,12,11,12
0,1,0,0,0,0,0,0,0,0,13,14,10
0,0,0,0,0,0,0,0,0,1,15,13,11
0,0,0,0,0,0,0,1,0,0,14,13,10
0,0,1,0,0,0,0,0,0,0,12,12,13
0,0,0,0,0,0,0,0,1,0,13,14,11
0,0,0,0,0,0,0,1,0,0,16,13,11
0,0,0,0,0,0,1,0,0,0,11,14,10
0,0,0,0,0,0,0,0,0,1,15,14,11
0,0,1,0,0,0,0,0,0,0,13,13,11
0,0,1,0,0,0,0,0,0,0,12,12,13
0,0,0,1,0,0,0,0,0,0,14,12,11
0,0,0,0,0,0,0,0,1,0,14,15,12
0,1,0,0,0,0,0,0,0,0,13,15,10
0,0,0,0,0,0,1,0,0,0,11,13,11
0,0,0,0,0,1,0,0,0,0,13,13,11
0,1,0,0,0,0,0,0,0,0,13,13,11
0,1,0,0,0,0,0,0,0,0,13,14,10
1,0,0,0,0,0,0,0,0,0,14,15,11
0,0,1,0,0,0,0,0,0,0,12,14,13
0,0,0,0,0,0,1,0,0,0,11,15,10
0,0,0,0,1,0,0,0,0,0,13,16,11
0,0,0,0,0,1,0,0,0,0,12,13,12
0,0,0,0,0,0,0,0,1,0,14,13,10
0,0,0,1,0,0,0,0,0,0,13,12,12
0,1,0,0,0,0,0,0,0,0,13,15,10
0,0,0,0,0,1,0,0,0,0,12,13,12
0,1,0,0,0,0,0,0,0,0,14,15,10
0,0,0,0,0,0,0,0,0,1,15,13,11
0,0,1,0,0,0,0,0,0,0,12,14,12
0,0,0,0,0,0,0,1,0,0,16,15,12
0,0,0,0,1,0,0,0,0,0,16,12,10
0,0,0,0,1,0,0,0,0,0,13,17,11
0,0,0,0,1,0,0,0,0,0,13,15,10
0,0,0,0,0,0,0,0,1,0,15,14,12
0,1,0,0,0,0,0,0,0,0,12,13,11
0,0,0,0,0,1,0,0,0,0,13,14,11
0,0,0,0,0,0,0,0,1,0,14,15,11
0,0,0,0,0,0,0,0,0,1,15,14,11
0,0,0,0,0,1,0,0,0,0,15,14,11
0,0,0,0,0,0,1,0,0,0,11,14,11
0,0,0,0,0,0,0,1,0,0,16,13,11
0,0,0,0,0,0,0,0,0,1,15,14,11
0,0,0,0,0,0,0,0,0,1,16,14,12
0,0,0,1,0,0,0,0,0,0,13,13,11
0,0,0,0,0,0,0,1,0,0,15,12,12
1,0,0,0,0,0,0,0,0,0,13,13,11
0,0,0,0,0,0,0,0,0,1,15,14,10
1,0,0,0,0,0,0,0,0,0,13,13,11
0,0,0,0,0,0,1,0,0,0,12,14,11
0,0,0,0,0,0,1,0,0,0,11,14,10
0,0,1,0,0,0,0,0,0,0,13,14,12
0,0,0,1,0,0,0,0,0,0,14,13,12
0,0,0,0,0,0,0,0,0,1,15,14,11
1,0,0,0,0,0,0,0,0,0,14,14,10
0,0,0,0,0,0,0,1,0,0,15,13,10
0,0,0,0,0,1,0,0,0,0,12,13,11
0,0,0,0,1,0,0,0,0,0,14,15,10
0,0,0,0,0,0,0,0,1,0,14,14,11
1,0,0,0,0,0,0,0,0,0,14,15,11
0,0,0,0,0,0,0,0,0,1,15,14,10
0,0,0,0,1,0,0,0,0,0,13,13,10
0,1,0,0,0,0,0,0,0,0,13,13,11
0,0,1,0,0,0,0,0,0,0,14,14,12
0,0,0,0,0,0,0,0,1,0,14,14,11
0,0,0,0,0,0,0,1,0,0,15,13,11
0,1,0,0,0,0,0,0,0,0,13,13,11
0,0,1,0,0,0,0,0,0,0,13,11,13
0,0,0,0,0,0,1,0,0,0,12,14,10
0,1,0,0,0,0,0,0,0,0,13,14,10
1,0,0,0,0,0,0,0,0,0,15,17,12
0,0,0,1,0,0,0,0,0,0,14,13,11
1,0,0,0,0,0,0,0,0,0,13,14,12
0,1,0,0,0,0,0,0,0,0,14,14,10
0,1,0,0,0,0,0,0,0,0,14,13,11
0,0,0,0,0,0,0,0,1,0,14,15,10
0,0,1,0,0,0,0,0,0,0,13,12,13
1,0,0,0,0,0,0,0,0,0,14,13,11
0,0,0,1,0,0,0,0,0,0,15,12,11
0,0,0,0,0,0,0,0,0,1,16,14,10
0,0,0,0,1,0,0,0,0,0,13,16,12
1,0,0,0,0,0,0,0,0,0,13,13,11
0,0,0,0,0,1,0,0,0,0,14,14,11
1,0,0,0,0,0,0,0,0,0,12,15,11
0,0,0,0,0,0,1,0,0,0,11,13,11
0,1,0,0,0,0,0,0,0,0,13,14,11
0,0,0,0,0,0,0,1,0,0,16,13,12
0,0,0,0,0,0,0,1,0,0,15,12,11
0,0,0,0,0,0,0,0,1,0,14,16,13
0,1,0,0,0,0,0,0,0,0,14,15,10
0,0,0,0,0,0,0,0,0,1,15,13,11
0,0,1,0,0,0,0,0,0,0,14,13,11
1,0,0,0,0,0,0,0,0,0,14,13,12
0,0,0,0,0,1,0,0,0,0,13,16,12
0,1,0,0,0,0,0,0,0,0,14,13,12
0,0,1,0,0,0,0,0,0,0,16,15,10
0,0,1,0,0,0,0,0,0,0,14,12,11
0,0,0,0,0,0,0,1,0,0,15,11,11
0,0,0,1,0,0,0,0,0,0,14,11,11
0,0,0,0,0,1,0,0,0,0,14,14,10
0,0,0,0,1,0,0,0,0,0,14,16,12
0,0,0,0,0,0,0,0,0,1,15,15,10
0,0,0,0,0,0,0,1,0,0,16,13,12
0,1,0,0,0,0,0,0,0,0,13,14,10
0,0,0,0,0,0,0,0,1,0,13,14,13
0,0,0,1,0,0,0,0,0,0,13,12,11
0,0,0,0,0,0,0,0,0,1,16,12,12
0,0,0,0,0,0,1,0,0,0,12,14,11
1,0,0,0,0,0,0,0,0,0,13,14,11
0,0,0,1,0,0,0,0,0,0,13,11,11
0,1,0,0,0,0,0,0,0,0,14,13,13
0,1,0,0,0,0,0,0,0,0,14,15,11
0,0,1,0,0,0,0,0,0,0,14,12,12
0,0,0,0,0,0,1,0,0,0,12,15,11
0,0,0,1,0,0,0,0,0,0,14,11,11
0,0,0,0,0,1,0,0,0,0,13,14,12
0,0,0,0,0,0,0,1,0,0,16,13,13
0,0,0,0,0,0,1,0,0,0,11,14,11
0,0,0,0,0,0,0,0,1,0,14,16,11
0,0,0,1,0,0,0,0,0,0,15,12,12
0,0,0,0,0,0,0,0,0,1,16,12,13
0,0,0,0,0,1,0,0,0,0,14,13,10
0,0,0,0,0,0,0,0,1,0,13,14,12
0,0,0,0,0,1,0,0,0,0,13,13,13
0,0,0,0,0,0,0,1,0,0,16,15,11
0,0,0,0,0,0,1,0,0,0,13,15,10
0,1,0,0,0,0,0,0,0,0,14,13,12
0,1,0,0,0,0,0,0,0,0,14,14,11
0,0,0,1,0,0,0,0,0,0,15,13,14
0,1,0,0,0,0,0,0,0,0,13,14,11
0,0,0,0,0,0,0,1,0,0,16,13,13
0,0,0,0,0,1,0,0,0,0,14,14,11
0,0,0,0,0,1,0,0,0,0,14,15,12
0,0,0,0,0,1,0,0,0,0,13,12,10
0,0,1,0,0,0,0,0,0,0,14,13,12
0,0,0,0,0,1,0,0,0,0,13,16,12
0,0,0,0,0,0,0,0,1,0,13,13,12
0,0,0,0,0,0,0,1,0,0,13,13,10
1,0,0,0,0,0,0,0,0,0,14,13,12
0,0,0,0,0,0,0,0,0,1,15,14,10
0,0,0,0,0,0,0,1,0,0,16,14,13
0,0,0,0,0,0,0,1,0,0,15,12,11
0,0,0,0,0,1,0,0,0,0,15,14,12
1,0,0,0,0,0,0,0,0,0,13,14,11
0,0,0,0,0,0,0,0,0,1,16,12,11
1,0,0,0,0,0,0,0,0,0,13,14,11
1,0,0,0,0,0,0,0,0,0,13,13,11
0,0,0,0,0,0,0,0,1,0,15,13,11
0,0,0,0,0,0,0,0,0,1,15,13,11
0,0,1,0,0,0,0,0,0,0,12,13,12
0,0,0,0,1,0,0,0,0,0,12,15,11
0,0,0,0,0,0,0,0,1,0,15,15,10
